id,name,role,image_url,small_image_url,link,average_rating,ratings_count,text_reviews_count,about
1792,Clayton M. Christensen,,"
https://images.gr-assets.com/authors/1362943115p5/1792.jpg
","
https://images.gr-assets.com/authors/1362943115p2/1792.jpg
",https://www.goodreads.com/author/show/1792.Clayton_M_Christensen,4.05,99378,5515,"Clayton M. Christensen is the Robert and Jane Cizik Professor of Business Administration at the Harvard Business School, with a joint appointment in the Technology &amp; Operations Management and General Management faculty groups. He is best known for his study of innovation in commercial enterprises. His first book, The Innovator's Dilemma, articulated his theory of disruptive technology.<br /><br />Christensen was born in Salt Lake City, Utah, the second of eight children. He holds a B.A. w..."
1794,Scott D. Anthony,,"
https://images.gr-assets.com/authors/1362941245p5/1794.jpg
","
https://images.gr-assets.com/authors/1362941245p2/1794.jpg
",https://www.goodreads.com/author/show/1794.Scott_D_Anthony,3.92,5748,131,"Scott D. Anthony is the managing partner of the innovation and growth consulting firm Innosight. Based in Innosight's Singapore office, he also leads its venture capital investment arm (Innosight Ventures). His most recent books are The Little Black Book of Innovation and the new HBR Single, Building a Growth Factory. Follow him on Twitter at @ScottDAnthony."
1793,Erik A. Roth,,"
https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png
","
https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png
",https://www.goodreads.com/author/show/1793.Erik_A_Roth,3.93,4956,43,
1795,Michael E. Raynor,,"
https://s.gr-assets.com/assets/nophoto/user/m_200x266-d279b33f8eec0f27b7272477f09806be.png
","
https://s.gr-assets.com/assets/nophoto/user/m_50x66-82093808bca726cb3249a493fbd3bd0f.png
",https://www.goodreads.com/author/show/1795.Michael_E_Raynor,4.04,11904,232,
239579,Charles Dickens,,"
https://images.gr-assets.com/authors/1387078070p5/239579.jpg
","
https://images.gr-assets.com/authors/1387078070p2/239579.jpg
",https://www.goodreads.com/author/show/239579.Charles_Dickens,3.89,3175425,96181,"<b>Charles John Huffam Dickens</b> was a writer and social critic who created some of the world's best-known fictional characters and is regarded as the greatest novelist of the Victorian era. His works enjoyed unprecedented popularity during his lifetime, and by the twentieth century critics and scholars had recognised him as a literary genius. His novels and short stories enjoy lasting popularity.<br /><br />Dickens left school to work in a factory when his father was incarcerated in a debt..."
222330,David Trotter,Introduction,"
https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png
","
https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png
",https://www.goodreads.com/author/show/222330.David_Trotter,3.73,17547,1009,
410624,Charlotte Mitchell,Editor,"
https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png
","
https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png
",https://www.goodreads.com/author/show/410624.Charlotte_Mitchell,3.74,17371,1001,
5756383,Παυλίνα Παμπούδη,Translator,"
https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png
","
https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png
",https://www.goodreads.com/author/show/5756383._,3.77,588431,11555,
14146678,Marisa Sestino,Translator,"
https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png
","
https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png
",https://www.goodreads.com/author/show/14146678.Marisa_Sestino,3.77,588102,11517,
2775780,Edgar Rosenberg,Editor,"
https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png
","
https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png
",https://www.goodreads.com/author/show/2775780.Edgar_Rosenberg,3.80,610,41,
