book_id,book_title,author_id,author_name
9496240,"The Hangman's Daughter (The Hangman's Daughter, #1)",2783820,Oliver Pötzsch
9496240,"The Hangman's Daughter (The Hangman's Daughter, #1)",3867266,Lee Chadeayne
9496240,"The Hangman's Daughter (The Hangman's Daughter, #1)",5372006,Sabine Marić
9497986,La luz de Egipto,3104244,León Arsenal
9498875,The Lonely Polygamist,97389,Brady Udall
9500416,Dreams of Joy (Shanghai Girls #2),713,Lisa See
9509277,The Quantum Thief (Jean le Flambeur #1),2768002,Hannu Rajaniemi
9512986,The Personal MBA: Master the Art of Business,4409125,Josh Kaufman
9520360,"The Son of Neptune (The Heroes of Olympus, #2)",15872,Rick Riordan
9520847,Sempre Susan: A Memoir of Susan Sontag,6633,Sigrid Nunez
9531737,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",108424,Patrick Rothfuss
9532319,Hector and the Secrets of Love,116430,François Lelord
9532502,Picture Perfect,126469,Deatri King-Bey
9532753,Parenting the Strong-Willed Child: The Clinically Proven Five-Week Program for Parents of Two- to Six-Year-Olds,344747,Rex L. Forehand
9532753,Parenting the Strong-Willed Child: The Clinically Proven Five-Week Program for Parents of Two- to Six-Year-Olds,344746,Nicholas Long
9533361,"Leviathan Wakes (The Expanse, #1)",4192148,James S.A. Corey
9533378,"Hounded (The Iron Druid Chronicles, #1)",4414255,Kevin Hearne
9534444,Boomerang: Travels in the New Third World,776,Michael   Lewis
9536017,نامه‌ای عاشقانه از تیمارستان ایالتی,7970,Richard Brautigan
9536017,نامه‌ای عاشقانه از تیمارستان ایالتی,1585484,مهدی نوید
9537743,Where's Walrus?,80572,Stephen  Savage
9538754,A Christmas Promise,9759,Mary Balogh
9545064,The Story of Beautiful Girl,22506,Rachel Simon
9547888,Attached: The New Science of Adult Attachment and How It Can Help You Find—and Keep—Love,4417525,Amir Levine
9547888,Attached: The New Science of Adult Attachment and How It Can Help You Find—and Keep—Love,6940283,Rachel S.F. Heller
