id,title,isbn,isbn13,asin,kindle_asin,country_code,image_url,small_image_url,large_image_url,publication_year,publication_month,publication_day,publisher,language_code,is_ebook,description,average_rating,num_pages,format,edition_information,text_reviews_count,url,link
10867,The Pleasure of My Company,0786888016,9780786888016, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442278234l/10867._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442278234l/10867._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442278234l/10867._SX318_.jpg,2004,10,6,Hachette Books,eng,false,"Daniel Pecan Cambridge, 30, 35, 38, or 27, depending on how he feels that day, is a young man whose life is rich and full, provided he never leaves his Santa Monica apartment. After all, outside there are 8-inch-high curbs and there's always the horrible chance he might see a gas station attendant wearing a blue hat. So, except for the occasional trip to the Rite Aid to admire the California girl Zandy and to buy earplugs because they're on sale, he stays home a lot. And a good thing too, or he would have never been falsely implicated in a murder, never almost seduced Philipa, never done the impossible task of jogging around the block with Brian, never ironed his pillows, and he might never have won the Most Average American essay contest. <i>The Pleasure of My Company</i> is the chronicle of a modern-day neurotic yearning to break free.",3.79,176,Paperback, ,1273,https://www.goodreads.com/book/show/10867.The_Pleasure_of_My_Company,https://www.goodreads.com/book/show/10867.The_Pleasure_of_My_Company
10868,Picasso at the Lapin Agile and Other Plays,0802135234,9780802135230, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406039428l/10868._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406039428l/10868._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406039428l/10868.jpg,1997,8,7,Grove Press,en-US,false,"Steve Martin is one of America's most treasured actors, having appeared in some of the most popular moves of our time. He is also an accomplished screenwriter who has in the past few years turned his hand to writing plays. The results, collected here, hilariously explore serious questions of love, happiness and the meaning of life; they are rich with equal parts of pain and slapstick humour, torment and wit.",3.99,150,Paperback, ,137,https://www.goodreads.com/book/show/10868.Picasso_at_the_Lapin_Agile_and_Other_Plays,https://www.goodreads.com/book/show/10868.Picasso_at_the_Lapin_Agile_and_Other_Plays
10873,Shopgirl,0786891076,9780786891078, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442525303l/10873._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442525303l/10873._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442525303l/10873._SY475_.jpg,2000,1,1,Hachette Books,eng,false,"Lonely, depressed, Vermont transplant Mirabelle Buttersfield, who sells expensive evening gloves nobody ever buys at Neiman Marcus in Beverly Hills and spends her evenings watching television with her two cats. She attempts to forge a relationship with middle-aged, womanizing, Seattle millionaire Ray Porter while being pursued by socially inept and unambitious slacker Jeremy.<br /><br />With more than 340,000 copies in print, Steve Martin's <i>Shopgirl</i> has landed on bestseller lists nationwide including: New York Times, Publishers Weekly, USA Today, Wall Street Journal, San Francisco Chronicle, Washington Post, and Los Angeles Times.<br /><br />Filled with the kind of witty, discerning observations that have brought Steve Martin incredible critical success, this story of modern day love and romance is a work of disarming tenderness.",3.42,130,Paperback, ,2236,https://www.goodreads.com/book/show/10873.Shopgirl,https://www.goodreads.com/book/show/10873.Shopgirl
10877,Generation of Swine: Tales of Shame and Degradation in the '80's,0743250443,9780743250443, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1288373095l/10877._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1288373095l/10877._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1288373095l/10877.jpg,2003,11,6,Simon  Schuster,eng,false,"From the bestselling author of <i>Fear and Loathing in Las Vegas</i>, the legendary Hunter S. Thompson's second volume of the ""Gonzo Papers"" is back. G<i>eneration of Swine</i> collects hundreds of columns from the infamous journalist's 1980s tenure at the <i>San Francisco Examiner</i>.<br /><br />Here, against a backdrop of late-night tattoo sessions and soldier-of-fortune trade shows, Dr. Thompson is at his apocalyptic best―covering emblematic events such as the 1987-88 presidential campaign, with Vice President George Bush, Sr., fighting for his life against Republican competitors like Alexander Haig, Pat Buchanan, and Pat Robertson; detailing the GOP's obsession with drugs and drug abuse; while at the same time capturing momentous social phenomena as they occurred, like the rise of cable, satellite TV, and CNN―24 hours of mainline news. Showcasing his inimitable talent for social and political analysis, Generation of Swine is vintage Thompson―eerily prescient, incisive, and enduring.",3.78,336,Paperback, ,175,https://www.goodreads.com/book/show/10877.Generation_of_Swine,https://www.goodreads.com/book/show/10877.Generation_of_Swine
10878,"The Great Shark Hunt: Strange Tales from a Strange Time (The Gonzo Papers, #1)",0743250451,9780743250450, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402149917l/10878._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402149917l/10878._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402149917l/10878.jpg,2003,,,Simon  Schuster,eng,false,"The first volume in Hunter S. Thompson’s bestselling <i>Gonzo Papers</i> offers brilliant commentary and outrageous humor, in his signature style.<br /><br />Originally published in 1979, the first volume of the bestselling “Gonzo Papers” is now back in print. <i>The Great Shark Hunt</i> is Dr. Hunter S. Thompson’s largest and, arguably, most important work, covering Nixon to napalm, Las Vegas to Watergate, Carter to cocaine. These essays offer brilliant commentary and outrageous humor, in signature Thompson style.<br /><br />Ranging in date from the <i>National Observer</i> days to the era of <i>Rolling Stone</i>, <i>The Great Shark Hunt</i> offers myriad, highly charged entries, including the first Hunter S. Thompson piece to be dubbed “gonzo”—“The Kentucky Derby Is Decadent and Depraved,” which appeared in <i>Scanlan's Monthly</i> in 1970. From this essay a new journalistic movement sprang which would change the shape of American letters. Thompson's razor-sharp insight and crystal clarity capture the crazy, hypocritical, degenerate, and redeeming aspects of the explosive and colorful ‘60s and ‘70s.",4.09,624,Paperback, ,302,https://www.goodreads.com/book/show/10878.The_Great_Shark_Hunt,https://www.goodreads.com/book/show/10878.The_Great_Shark_Hunt
10880,"The Proud Highway: Saga of a Desperate Southern Gentleman, 1955-1967",0345377966,9780345377968, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358276588l/10880._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358276588l/10880._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358276588l/10880.jpg,1998,4,7,Ballantine Books,eng,false,"Here, for the first time, is the private and most intimate correspondence of one of America's most influential and incisive journalists—Hunter S. Thompson. In letters to a Who's Who of luminaries from Norman Mailer to Charles Kuralt, Tom Wolfe to Lyndon Johnson, William Styron to Joan Baez—not to mention his mother, the NRA, and a chain of newspaper editors—Thompson vividly catches the tenor of the times in 1960s America and channels it all through his own razor-sharp perspective. Passionate in their admiration, merciless in their scorn, and never anything less than fascinating, the dispatches of <i>The Proud Highway</i> offer an unprecedented and penetrating gaze into the evolution of the most outrageous raconteur/provocateur ever to assault a typewriter.",4.15,720,Paperback, ,121,https://www.goodreads.com/book/show/10880.The_Proud_Highway,https://www.goodreads.com/book/show/10880.The_Proud_Highway
10882,Hell's Angels,222109073X,9782221090732, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1166334569l/10882._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1166334569l/10882._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1166334569l/10882._SY475_.jpg,2000,4,6,Robert Laffont,fre,false,"Au début des années soixante, Thompson, alors journaliste à San Francisco, est fasciné par les Hell's Angels. Son article sur ces seigneurs de la route fait sensation, il se lance dans la version longue : un an passé à rouler et à écrire à leurs côtés. Mais l'équipée se termine sauvagement : parce qu'il refuse de partager ses royalties, les Angels abandonnent l'homme de lettres sur une route, à moitié mort et le crâne défoncé à coups de pierres... <br /><br />"" En France on n'a pas ça et aux Etats-unis, pays pourtant pas avare en déjantés, ils n'en ont qu'un comme lui. Même s'il n'a rien écrit depuis plus de vingt ans, Hunter S. Thompson demeure là-bas une légende. "", Eric Neuhoff, Le Figaro littéraire.",3.97,295,Paperback, ,1037,https://www.goodreads.com/book/show/10882.Hell_s_Angels,https://www.goodreads.com/book/show/10882.Hell_s_Angels
10883,Benjamin Franklin: An American Life,074325807X,9780743258074, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397772877l/10883._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397772877l/10883._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397772877l/10883.jpg,2004,6,,Simon & Schuster,eng,false,"Benjamin Franklin is the Founding Father who winks at us. An ambitious urban entrepreneur who rose up the social ladder, from leather-aproned shopkeeper to dining with kings, he seems made of flesh rather than of marble. In bestselling author Walter Isaacson's vivid and witty full-scale biography, we discover why Franklin seems to turn to us from history's stage with eyes that twinkle from behind his new-fangled spectacles. By bringing Franklin to life, Isaacson shows how he helped to define both his own time and ours.<br /><br />He was, during his 84-year life, America's best scientist, inventor, diplomat, writer, and business strategist, and he was also one of its most practical—though not most profound—political thinkers. He proved by flying a kite that lightning was electricity, and he invented a rod to tame it. He sought practical ways to make stoves less smoky and commonwealths less corrupt. He organized neighborhood constabularies and international alliances, local lending libraries and national legislatures. He combined two types of lenses to create bifocals and two concepts of representation to foster the nation's federal compromise. He was the only man who shaped all the founding documents of America: the Albany Plan of Union, the Declaration of Independence, the treaty of alliance with France, the peace treaty with England, and the Constitution. And he helped invent America's unique style of homespun humor, democratic values, and philosophical pragmatism.<br /><br />But the most interesting thing that Franklin invented, and continually reinvented, was himself. America's first great publicist, he was, in his life and in his writings, consciously trying to create a new American archetype. In the process, he carefully crafted his own persona, portrayed it in public, and polished it for posterity.<br /><br />Through it all, he trusted the hearts and minds of his fellow ""leather-aprons"" more than he did those of any inbred elite. He saw middle-class values as a source of social strength, not as something to be derided. His guiding principle was a ""dislike of everything that tended to debase the spirit of the common people."" Few of his fellow founders felt this comfort with democracy so fully, and none so intuitively.<br /><br />In this colorful and intimate narrative, Isaacson provides the full sweep of Franklin's amazing life, from his days as a runaway printer to his triumphs as a statesman, scientist, and Founding Father. He chronicles Franklin's tumultuous relationship with his illegitimate son and grandson, his practical marriage, and his flirtations with the ladies of Paris. He also shows how Franklin helped to create the American character and why he has a particular resonance in the twenty-first century.",4.00,586,Paperback, ,1895,https://www.goodreads.com/book/show/10883.Benjamin_Franklin,https://www.goodreads.com/book/show/10883.Benjamin_Franklin
10884,Einstein: His Life and Universe,0743264738,9780743264730, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328011405l/10884._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328011405l/10884._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328011405l/10884.jpg,2007,4,10,Simon  Schuster,eng,false,"Einstein was a rebel and nonconformist from boyhood days, and these character traits drove both his life and his science. In this narrative, Walter Isaacson explains how his mind worked and the mysteries of the universe that he discovered.",4.12,675,Hardcover, ,3054,https://www.goodreads.com/book/show/10884.Einstein,https://www.goodreads.com/book/show/10884.Einstein
10885,The Wise Men: Six Friends and the World They Made,0684837714,9780684837710, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327870158l/10885._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327870158l/10885._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327870158l/10885.jpg,1997,6,4,Simon & Schuster,eng,false,"A captivating blend of personal biography and public drama, <i>The Wise Men</i> introduces the original best and brightest, leaders whose outsized personalities and actions brought order to postwar chaos: Averell Harriman, the freewheeling diplomat and Roosevelt's special envoy to Churchill and Stalin; Dean Acheson, the secretary of state who was more responsible for the Truman Doctrine than Truman and for the Marshall Plan than General Marshall; George Kennan, self-cast outsider and intellectual darling of the Washington elite; Robert Lovett, assistant secretary of war, undersecretary of state, and secretary of defense throughout the formative years of the Cold War; John McCloy, one of the nation's most influential private citizens; and Charles Bohlen, adroit diplomat and ambassador to the Soviet Union.",4.08,864,Paperback, ,86,https://www.goodreads.com/book/show/10885.The_Wise_Men,https://www.goodreads.com/book/show/10885.The_Wise_Men
